"","name_of_sat","country_of_contractor","users","purpose","class_of_orbit","launch_site","GEO","LEO","MEO","Guiana","Baikonur","Cape","Vandenberg","Xichang","Commercial","Government","Military","Civil","Communication","EObs","TechDev","GPS","SpScience","TechDemo","Martime"
"445","Cosmos 2426","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"446","Cosmos 2432","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"447","Cosmos 2433","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"448","Cosmos 2434","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"449","Cosmos 2436","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"450","Cosmos 2443","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"451","Cosmos 2456","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"452","Cosmos 2459","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"453","Cosmos 2460","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"454","Cosmos 2457","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"455","Cosmos 2458","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"456","Cosmos 2461","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"457","Cosmos 2464","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"458","Cosmos 2465","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"459","Cosmos 2466","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"460","Cosmos 2474","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"461","Cosmos 2476","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"462","Cosmos 2477","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"463","Cosmos 2475","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"464","Cosmos 2478","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"465","Cosmos 2485","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"466","Cosmos 2514","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"467","Cosmos 2516","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"468","Cosmos 2491","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"469","Cosmos 2500","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"470","GOES-13","USA","Government","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"471","GOES-14","USA","Government","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"472","GOES-15","USA","Government","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"473","GOES-3","USA","Civil","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"474","Göktürk 2","Turkey","Military","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"475","Gonets D1-14","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"476","Gonets M-03","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"477","Gonets M-04","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"478","Gonets M-05","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"479","Gonets M-11","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"480","Gonets M-12","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"481","Gonets M-13","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"482","Gonets M-14","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"483","Gonets M-16","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"484","Gonets M-17","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"485","Gonets M-18","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"486","Gonets M-19","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"487","Gonets M-20","Russia","Commercial/Government","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"488","Gravity Recovery and Climate Experiment (Grace 1, """"""""Tom and Jerry"""""""")","Germany/USA","Civil","Earth Observation","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"489","Gravity Recovery and Climate Experiment (Grace 2, """"""""Tom and Jerry"""""""")","Germany/USA","Civil","Earth Observation","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"490","GRIFEX","USA","Government/Civil","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
"491","GSAT-10","India","Government","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"492","GSAT-12","India","Government","Communications","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"493","GSAT-14","India","Government","Communications","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"494","GSAT-15","India","Government","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"495","GSAT-16","India","Government","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"496","GSAT-2","India","Government","Communications/Technology Development","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"497","GSAT-6","India","Government/Commercial","Communications","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"498","GSAT-7","India","Military","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"499","GSAT-8","India","Government","Communications/Navigation","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"500","USA 253","USA","Military","Space Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"501","USA 254","USA","Military","Space Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"502","Haiyang 2A","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"503","Helios 2A","France/UK/Germany/Spain","Military","Earth Observation","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"504","Helios 2B","France/UK/Germany/Spain","Military","Earth Observation","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"505","HellasSat 2","France, UK, Germany","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"506","RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager)","USA","Government/Civil","Space Science","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
"507","Hispasat 1C","France","Commercial/Gov/Mil","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"508","Hispasat 1D","France","Commercial/Gov/Mil","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"509","Hispasat 1E","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"510","HJ-1A","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"511","HJ-1B","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"512","HJ-1C","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"513","Hodoyoshi-1","Japan","Government","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"514","Hodoyoshi-3","Japan","Government","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"515","Hodoyoshi-4","Japan","Government","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"516","Horizons 2","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"517","Hubble Space Telescope","International","Government","Space Science","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"518","HumSat-D","Spain","Civil","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"519","HYLAS 1","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"520","HYLAS 2","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"521","USA 184","USA","Military","Earth Observation","Elliptical","Vandenberg AFB",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"522","USA 200","USA","Military","Earth Observation","Elliptical","Vandenberg AFB",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"523","USA 259","USA","Military","Earth Observation","Elliptical","Vandenberg AFB",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"524","INMARSAT 3 F1","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"525","INMARSAT 3 F2","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"526","INMARSAT 3 F3","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"527","INMARSAT 3 F4","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"528","INMARSAT 3 F5","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"529","INMARSAT 4 F1","France/UK/Germany","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"530","INMARSAT 4 F3","France/UK/Germany","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"531","INMARSAT 5 F1","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"532","INMARSAT 5 F2","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"533","INMARSAT 5 F3","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"534","INSAT 3A","India","Government","Earth Observation","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"535","INSAT 3C","India","Government","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"536","INSAT 3D","India","Government","Earth Observation","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"537","INSAT 4A","India","Government","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"538","INSAT 4B","India","Government","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"539","INSAT 4CR","India","Government","Communications","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"540","INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL)","Italy/International","Government","Space Science","Elliptical","Baikonur Cosmodrome",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"541","Intelsat 10","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"542","Intelsat 10-02","UK/France/Germany/Spain","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"543","Intelsat 11","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"544","Intelsat 12","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"545","Intelsat 14","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"546","Intelsat 15","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"547","Intelsat 16","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"548","Intelsat 17","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"549","Intelsat 18","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"550","Intelsat 1R","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"551","Intelsat 20","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"552","Intelsat 22","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"553","Intelsat 23","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"554","Intelsat 25","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"555","JCSat R","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"556","Intelsat 29E","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"557","Intelsat 30/DLA 1","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"558","Intelsat 31/DLA 2","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"559","Intelsat 34","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"560","Intelsat 5","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"561","Intelsat 701","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"562","Intelsat 702","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"563","Intelsat 8","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"564","Intelsat 805","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"565","Intelsat 901","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"566","Intelsat 902","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"567","Intelsat 903","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"568","Intelsat 904","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"569","Intelsat 905","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"570","Intelsat 906","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"571","Intelsat 907","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"572","Intelsat APR-2","France","Commercial","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"573","Intelsat New Dawn","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"574","International Space Station","Multinational","Government","Space Science","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"575","Iridium 10","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"576","Iridium 11A","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"577","Iridium 12","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"578","Iridium 13","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"579","Iridium 14A","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"580","Iridium 15","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"581","Iridium 18","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"582","Iridium 19","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"583","Iridium 20A","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"584","Iridium 21A","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"585","Iridium 22","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"586","Iridium 23","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"587","Iridium 25","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"588","Iridium 3","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"589","Iridium 30","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"590","Iridium 31","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"591","Iridium 32","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"592","Iridium 34","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"593","Iridium 35","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"594","Iridium 37","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"595","Iridium 39","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"596","Iridium 40","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"597","Iridium 41","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"598","Iridium 42","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"599","Iridium 43","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"600","Iridium 45","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"601","Iridium 46","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"602","Iridium 47","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"603","Iridium 49","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"604","Iridium 5","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"605","Iridium 50","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"606","Iridium 51","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"607","Iridium 52","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"608","Iridium 53","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"609","Iridium 54","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"610","Iridium 55","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"611","Iridium 56","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"612","Iridium 57","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"613","Iridium 58","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"614","Iridium 59","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"615","Iridium 6","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"616","Iridium 60","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
