"","name_of_sat","country_of_contractor","users","purpose","class_of_orbit","launch_site","GEO","LEO","MEO","Guiana","Baikonur","Cape","Vandenberg","Xichang","Commercial","Government","Military","Civil","Communication","EObs","TechDev","GPS","SpScience","TechDemo","Martime"
"197","COSMIC-E","USA","Government/Civil","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"198","COSMIC-F","USA","Government/Civil","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"199","Cosmos 2504","Russia","Military","Technology Development","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"200","COSMO-Skymed 1","France/Italy","Military/Civil","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"201","COSMO-Skymed 2","Italy","Military/Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"202","COSMO-Skymed 3","Italy","Military/Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"203","COSMO-Skymed 4","Italy","Military/Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"204","CP-10","USA","Civil","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"205","Cryosat-2","France/UK/Germany/Spain","Government","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"206","CSSWE","USA","Civil","Earth Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"207","Cubebug 1","Argentina","Civil","Technology Development","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"208","Cubebug 2","Argentina","Civil","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"209","Cubesat XI-IV","Japan","Civil","Technology Development","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
